Name,Brand,Price max,Price min,Category,SubCategory,Quantity,Description,BreadCrumbs
Premia Badam (Almonds),Premia,451,329,Grocery,Grocery/Dry Fruits,500 gm,India,Grocery > Grocery/Dry Fruits
Premia Badam (Almonds),Premia,109,85,Grocery,Grocery/Dry Fruits,100 gm,India,Grocery > Grocery/Dry Fruits
Premia Badam (Almonds),Premia,202,175,Grocery,Grocery/Dry Fruits,200 gm,India,Grocery > Grocery/Dry Fruits
Nutraj California Almonds (Badam),Nutraj,599,349,Grocery,Dry Fruits,500 gm,USA,Grocery > Dry Fruits
Nutraj California Almonds (Badam),Nutraj,1549,659,Grocery,Dry Fruits,1 kg,USA,Grocery > Dry Fruits
Chana Dal,,49,42,Grocery,Dals,500 gm,India,Grocery > Dals
Chana Dal,,96,80,Grocery,Dals,1 kg,India,Grocery > Dals
Rajma White,,112,102,Grocery,Pulses,500 gm,India,Grocery > Pulses
Rajma Kashmiri Red,,101,81,Grocery,Pulses,500 gm,India,Grocery > Pulses
Premia Mamra Badam,Premia,634,488,Grocery,Dry Fruits,200 gm,India,Grocery > Dry Fruits
